Question,Answer
I'm having trouble completing online enrolment. What should I do?,"Please refer to the support page for details of supported enrolment."
I can't access enrolment as it is not open. What do I do?,"You should have been sent an email to your university address informing you of the enrolment opening date. If you believe you should be enrolling now, please contact Student Hub on +44 (0) 1786 466022 or email ask@stir.ac.uk"
I can't enrol as I have outstanding debt. What can I do?,"You need to contact the Student Finance Office as soon as possible on income.office@stir.ac.uk or +44 (0) 1786 467123."
Worldpay is not accepting my card payment. What do I do?,"If you are having problems using Worldpay, please contact +44 (0) 1786 467123 or income.office@stir.ac.uk, to arrange another method of payment."
Do I still enrol if I am withdrawn or on leave of absence?,"Do not enrol - contact enrolment@stir.ac.uk"
I want to change my mode of attendance or request a leave of absence,"Do not enrol - you will need to email studentprogrammes@stir.ac.uk from your university email account attaching any documentation to support your request."
What does conditionally enrolled mean?,"You will be conditional enrolled if you have completed online enrolment however there are further steps that need to be completed for you to become fully enrolled. when you completed online enrolment you would have been sent an email detailing why your enrolment status is conditional, please refer to this for more information."
When do I get my student loan?,"Once you have successfully enrolled and the official start date of your programme has passed, your student loan should be paid into your bank account within 3 working days. if you have queries regarding this you will need to speak to the student loan company"
Where can I get timetable information?,"Please refer to the timetable webpage for information on the timetable."
Where do I get a letter to prove my enrolment?,"Once you have completed enrolment you will a pdf copy of your certificate of enrolment to your student email address within 24 hours. for more information on the certificate of enrolment please refer to the webpage on ."
Having problems logging on or need password reset?,"Please contact the Information Helpdesk on helpdesk@stir.ac.uk or +44 (0) 1786 467250."
