Question,Answer
"What do students agree to regarding university policies and regulations?","Students agree to abide by the policies and regulations governing enrolled students of the University of Stirling throughout their studies."
"How do students pledge to contribute to equality and diversity within the university community?","Students pledge to support equality for all staff and students, contributing to a diverse and fair university community that respects everyone's interests and goals."
"What responsibility do students have for their own learning?","Students commit to taking responsibility for their own learning, participating in teaching and learning activities, academic supervision, feedback, support services, and development opportunities as required to support their learning."
"What is expected of students regarding academic integrity?","Students agree to submit their own work for assessment, acknowledging and properly citing any quotations, ideas, data, or information taken from public or private sources."
"How should students conduct themselves towards others within the university community?","Students agree to conduct themselves in a respectful and considerate manner towards all members of the university community, visitors to the campus, and campus facilities and grounds."
"What behavior is expected of students off-campus?","Students agree to behave responsibly and appropriately in the communities surrounding the campus and elsewhere in the wider public community during their time as a student."
"How should students represent the university in their interactions?","Students acknowledge that their behavior reflects directly upon the university in all interactions and agree to conduct themselves appropriately as representatives of the University of Stirling."
"What rights and responsibilities do students have regarding freedom of speech and expression?","Students recognize their right to freedom of speech and expression but understand that it comes with responsibility. They agree to communicate and interact with others in a manner that is appropriate and respectful, avoiding abuse, bullying, harassment, threats, defamation, slander, or libel."
"How should students interact with university staff and fellow students?","Students agree to be courteous and professional when interacting with staff and fellow students, expecting the same level of professionalism from university staff in return."
"What are the consequences for misconduct according to the Student Charter?","Students accept that any conduct not aligned with the Student Charter will be taken seriously by the university, and appropriate action may be initiated in line with university policies and procedures."
